image_id,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,tag1,tag2,tag3
397719,10,6,32,21,46,59,66,90,60,40,14,35,557
342741,50,90,92,53,74,38,46,84,30,60,1,14,505
874650,30,12,36,56,50,16,10,0,0,0,14,21,1193
775712,10,12,4,15,39,60,90,120,90,20,7,14,1009
957154,20,0,4,2,15,35,46,108,120,80,14,0,1405
655612,10,6,28,36,54,38,6,6,10,30,14,53,827
889554,0,0,4,4,15,48,98,228,220,110,20,23,1223
276094,40,132,172,116,121,51,42,42,20,20,2,0,428
33111,30,30,72,46,69,45,44,96,20,10,14,21,126
732467,60,96,148,59,53,18,14,6,0,20,14,0,936
270502,50,48,116,46,83,46,62,132,120,70,14,27,422
165478,0,42,112,68,94,63,36,66,0,30,2,27,328
211777,30,48,80,58,89,35,30,36,50,0,10,39,363
945357,0,12,4,5,33,49,94,168,230,120,7,14,1373
354115,70,90,152,77,104,60,74,66,30,40,10,0,514
192958,10,24,64,31,85,69,100,138,60,20,1,10,351
627982,0,6,16,20,66,59,38,24,20,10,14,15,783
417409,20,24,52,39,61,54,42,108,50,10,14,35,576
50721,20,18,20,29,56,32,36,18,20,0,14,15,166
632577,0,0,8,11,39,52,50,48,0,0,7,14,797
615638,0,0,0,2,13,39,84,198,150,160,14,15,769
951023,0,0,0,11,29,49,42,102,50,20,10,25,1383
315220,0,0,44,31,65,45,24,6,10,20,10,20,472
593141,0,0,0,8,30,62,42,30,10,10,14,0,738
749254,0,0,4,13,33,62,66,48,50,40,14,35,960
904726,0,6,24,15,53,41,66,108,30,20,14,15,1257
497511,40,0,12,15,29,60,122,258,370,210,7,14,668
294402,20,6,16,20,68,69,48,78,60,40,14,27,448
183937,10,42,84,48,74,67,80,132,120,150,21,23,345
886886,0,0,12,10,40,55,38,24,10,0,2,0,1207
758277,10,12,76,49,90,45,36,36,30,0,14,21,982
739762,0,6,20,4,23,41,94,270,230,60,14,35,950
772582,60,6,40,30,83,162,218,318,300,170,23,61,1005
327847,0,6,20,18,61,66,32,102,50,30,14,38,489
258045,40,72,92,48,103,64,54,42,60,40,10,0,407
